County,State,FIPS.County.Code,X2006.Prescribing.Rate,Year,County.1,State.1,FIPS.County.Code.1,X2007.Prescribing.Rate,Year.1,County.2,State.2,FIPS.County.Code.2,X2008.Prescribing.Rate,Year.2,County.3,State.3,FIPS.County.Code.3,X2009.Prescribing.Rate,Year.3,County.4,State.4,FIPS.County.Code.4,X2010.Prescribing.Rate,Year.4,County.5,State.5,FIPS.County.Code.5,X2011.Prescribing.Rate,Year.5,County.6,State.6,FIPS.County.Code.6,X2012.Prescribing.Rate,Year.6,County.7,State.7,FIPS.County.Code.7,X2013.Prescribing.Rate,Year.7,County.8,State.8,FIPS.County.Code.8,X2014.Prescribing.Rate,Year.8,County.9,State.9,FIPS.County.Code.9,X2015.Prescribing.Rate,Year.9,County.10,State.10,FIPS.County.Code.10,X2016.Prescribing.Rate,Year.10,County.11,State.11,State.County.FIPS.Code,X2017,Year.11
"Tulare, CA",CA,6107,72.1,X2006.Prescribing.Rate,"Tulare, CA",CA,6107,76.4,X2007.Prescribing.Rate,"Tulare, CA",CA,6107,82.2,X2008.Prescribing.Rate,"Tulare, CA",CA,6107,87.3,X2009.Prescribing.Rate,"Tulare, CA",CA,6107,89.4,X2010.Prescribing.Rate,"Tulare, CA",CA,6107,89.9,X2011.Prescribing.Rate,"Tulare, CA",CA,6107,88.9,X2012.Prescribing.Rate,"Tulare, CA",CA,6107,84.3,X2013.Prescribing.Rate,"Tulare, CA",CA,6107,78.8,X2014.Prescribing.Rate,"Tulare, CA",CA,6107,68.8,X2015.Prescribing.Rate,"Tulare, CA",CA,6107,65.1,X2016.Prescribing.Rate,DENVER,CO,8031,35.1,2017
"Tuolumne, CA",CA,6109,126.3,X2006.Prescribing.Rate,"Tuolumne, CA",CA,6109,140.1,X2007.Prescribing.Rate,"Tuolumne, CA",CA,6109,160.7,X2008.Prescribing.Rate,"Tuolumne, CA",CA,6109,176.9,X2009.Prescribing.Rate,"Tuolumne, CA",CA,6109,185.4,X2010.Prescribing.Rate,"Tuolumne, CA",CA,6109,170.9,X2011.Prescribing.Rate,"Tuolumne, CA",CA,6109,181.9,X2012.Prescribing.Rate,"Tuolumne, CA",CA,6109,162.4,X2013.Prescribing.Rate,"Tuolumne, CA",CA,6109,142.8,X2014.Prescribing.Rate,"Tuolumne, CA",CA,6109,126.4,X2015.Prescribing.Rate,"Tuolumne, CA",CA,6109,114.6,X2016.Prescribing.Rate,DOUGLAS,CO,8035,45.6,2017
"Ventura, CA",CA,6111,59.9,X2006.Prescribing.Rate,"Ventura, CA",CA,6111,62.3,X2007.Prescribing.Rate,"Ventura, CA",CA,6111,64,X2008.Prescribing.Rate,"Ventura, CA",CA,6111,64,X2009.Prescribing.Rate,"Ventura, CA",CA,6111,63.6,X2010.Prescribing.Rate,"Ventura, CA",CA,6111,64.1,X2011.Prescribing.Rate,"Ventura, CA",CA,6111,63.6,X2012.Prescribing.Rate,"Ventura, CA",CA,6111,62.3,X2013.Prescribing.Rate,"Ventura, CA",CA,6111,60.2,X2014.Prescribing.Rate,"Ventura, CA",CA,6111,56.7,X2015.Prescribing.Rate,"Ventura, CA",CA,6111,54,X2016.Prescribing.Rate,EAGLE,CO,8037,41,2017
"Yolo, CA",CA,6113,55.8,X2006.Prescribing.Rate,"Yolo, CA",CA,6113,59.7,X2007.Prescribing.Rate,"Yolo, CA",CA,6113,64,X2008.Prescribing.Rate,"Yolo, CA",CA,6113,63.5,X2009.Prescribing.Rate,"Yolo, CA",CA,6113,62.3,X2010.Prescribing.Rate,"Yolo, CA",CA,6113,64,X2011.Prescribing.Rate,"Yolo, CA",CA,6113,65.4,X2012.Prescribing.Rate,"Yolo, CA",CA,6113,55.5,X2013.Prescribing.Rate,"Yolo, CA",CA,6113,51.8,X2014.Prescribing.Rate,"Yolo, CA",CA,6113,47.6,X2015.Prescribing.Rate,"Yolo, CA",CA,6113,46.7,X2016.Prescribing.Rate,EL PASO,CO,8041,60.2,2017
"Yuba, CA",CA,6115,76.1,X2006.Prescribing.Rate,"Yuba, CA",CA,6115,72.6,X2007.Prescribing.Rate,"Yuba, CA",CA,6115,84,X2008.Prescribing.Rate,"Yuba, CA",CA,6115,98.5,X2009.Prescribing.Rate,"Yuba, CA",CA,6115,111.2,X2010.Prescribing.Rate,"Yuba, CA",CA,6115,108.8,X2011.Prescribing.Rate,"Yuba, CA",CA,6115,108,X2012.Prescribing.Rate,"Yuba, CA",CA,6115,105.5,X2013.Prescribing.Rate,"Yuba, CA",CA,6115,96.2,X2014.Prescribing.Rate,"Yuba, CA",CA,6115,92,X2015.Prescribing.Rate,"Yuba, CA",CA,6115,83.2,X2016.Prescribing.Rate,ELBERT,CO,8039,31.5,2017
"Adams, CO",CO,8001,52.6,X2006.Prescribing.Rate,"Adams, CO",CO,8001,52.6,X2007.Prescribing.Rate,"Adams, CO",CO,8001,56.5,X2008.Prescribing.Rate,"Adams, CO",CO,8001,57.6,X2009.Prescribing.Rate,"Adams, CO",CO,8001,60.1,X2010.Prescribing.Rate,"Adams, CO",CO,8001,60,X2011.Prescribing.Rate,"Adams, CO",CO,8001,61.9,X2012.Prescribing.Rate,"Adams, CO",CO,8001,60.3,X2013.Prescribing.Rate,"Adams, CO",CO,8001,60.6,X2014.Prescribing.Rate,"Adams, CO",CO,8001,56.6,X2015.Prescribing.Rate,"Adams, CO",CO,8001,52.5,X2016.Prescribing.Rate,FREMONT,CO,8043,67.3,2017
"Alamosa, CO",CO,8003,172.7,X2006.Prescribing.Rate,"Alamosa, CO",CO,8003,194.8,X2007.Prescribing.Rate,"Alamosa, CO",CO,8003,203.4,X2008.Prescribing.Rate,"Alamosa, CO",CO,8003,215.5,X2009.Prescribing.Rate,"Alamosa, CO",CO,8003,210.6,X2010.Prescribing.Rate,"Alamosa, CO",CO,8003,218.4,X2011.Prescribing.Rate,"Alamosa, CO",CO,8003,225.8,X2012.Prescribing.Rate,"Alamosa, CO",CO,8003,202.6,X2013.Prescribing.Rate,"Alamosa, CO",CO,8003,175.8,X2014.Prescribing.Rate,"Alamosa, CO",CO,8003,165.5,X2015.Prescribing.Rate,"Alamosa, CO",CO,8003,152.4,X2016.Prescribing.Rate,GARFIELD,CO,8045,64.8,2017
"Arapahoe, CO",CO,8005,56.9,X2006.Prescribing.Rate,"Arapahoe, CO",CO,8005,60.2,X2007.Prescribing.Rate,"Arapahoe, CO",CO,8005,61.3,X2008.Prescribing.Rate,"Arapahoe, CO",CO,8005,62.4,X2009.Prescribing.Rate,"Arapahoe, CO",CO,8005,64.6,X2010.Prescribing.Rate,"Arapahoe, CO",CO,8005,64.8,X2011.Prescribing.Rate,"Arapahoe, CO",CO,8005,66.5,X2012.Prescribing.Rate,"Arapahoe, CO",CO,8005,66.1,X2013.Prescribing.Rate,"Arapahoe, CO",CO,8005,66.7,X2014.Prescribing.Rate,"Arapahoe, CO",CO,8005,63.6,X2015.Prescribing.Rate,"Arapahoe, CO",CO,8005,58.2,X2016.Prescribing.Rate,GRAND,CO,8049,37.7,2017
"Archuleta, CO",CO,8007,50,X2006.Prescribing.Rate,"Archuleta, CO",CO,8007,47.7,X2007.Prescribing.Rate,"Archuleta, CO",CO,8007,42.4,X2008.Prescribing.Rate,"Archuleta, CO",CO,8007,71,X2009.Prescribing.Rate,"Archuleta, CO",CO,8007,81.1,X2010.Prescribing.Rate,"Archuleta, CO",CO,8007,62.1,X2011.Prescribing.Rate,"Archuleta, CO",CO,8007,70.4,X2012.Prescribing.Rate,"Archuleta, CO",CO,8007,71.8,X2013.Prescribing.Rate,"Archuleta, CO",CO,8007,75.6,X2014.Prescribing.Rate,"Archuleta, CO",CO,8007,77.6,X2015.Prescribing.Rate,"Archuleta, CO",CO,8007,72.3,X2016.Prescribing.Rate,GUNNISON,CO,8051,44.4,2017
"Baca, CO",CO,8009,80.4,X2006.Prescribing.Rate,"Baca, CO",CO,8009,85.4,X2007.Prescribing.Rate,"Baca, CO",CO,8009,81.8,X2008.Prescribing.Rate,"Baca, CO",CO,8009,78.7,X2009.Prescribing.Rate,"Baca, CO",CO,8009,82.8,X2010.Prescribing.Rate,"Baca, CO",CO,8009,104.3,X2011.Prescribing.Rate,"Baca, CO",CO,8009,99.9,X2012.Prescribing.Rate,"Baca, CO",CO,8009,98.5,X2013.Prescribing.Rate,"Baca, CO",CO,8009,95,X2014.Prescribing.Rate,"Baca, CO",CO,8009,81.2,X2015.Prescribing.Rate,"Baca, CO",CO,8009,86.8,X2016.Prescribing.Rate,HUERFANO,CO,8055,76.6,2017
"Bent, CO",CO,8011,32.7,X2006.Prescribing.Rate,"Bent, CO",CO,8011,36.9,X2007.Prescribing.Rate,"Bent, CO",CO,8011,43.3,X2008.Prescribing.Rate,"Bent, CO",CO,8011,38.7,X2009.Prescribing.Rate,"Bent, CO",CO,8011,45,X2010.Prescribing.Rate,"Bent, CO",CO,8011,51.7,X2011.Prescribing.Rate,"Bent, CO",CO,8011,57.9,X2012.Prescribing.Rate,"Bent, CO",CO,8011,55.9,X2013.Prescribing.Rate,"Bent, CO",CO,8011,59.1,X2014.Prescribing.Rate,"Bent, CO",CO,8011,65.5,X2015.Prescribing.Rate,"Bent, CO",CO,8011,59.6,X2016.Prescribing.Rate,JEFFERSON,CO,8059,61.6,2017
"Boulder, CO",CO,8013,59.3,X2006.Prescribing.Rate,"Boulder, CO",CO,8013,61.1,X2007.Prescribing.Rate,"Boulder, CO",CO,8013,61.5,X2008.Prescribing.Rate,"Boulder, CO",CO,8013,62.4,X2009.Prescribing.Rate,"Boulder, CO",CO,8013,63,X2010.Prescribing.Rate,"Boulder, CO",CO,8013,63.3,X2011.Prescribing.Rate,"Boulder, CO",CO,8013,59.9,X2012.Prescribing.Rate,"Boulder, CO",CO,8013,57.1,X2013.Prescribing.Rate,"Boulder, CO",CO,8013,53.6,X2014.Prescribing.Rate,"Boulder, CO",CO,8013,51.3,X2015.Prescribing.Rate,"Boulder, CO",CO,8013,47.7,X2016.Prescribing.Rate,KIOWA,CO,8061,97.2,2017
"Broomfield, CO",CO,8014,51.8,X2006.Prescribing.Rate,"Broomfield, CO",CO,8014,53.5,X2007.Prescribing.Rate,"Broomfield, CO",CO,8014,55.5,X2008.Prescribing.Rate,"Broomfield, CO",CO,8014,65.5,X2009.Prescribing.Rate,"Broomfield, CO",CO,8014,67.3,X2010.Prescribing.Rate,"Broomfield, CO",CO,8014,69.9,X2011.Prescribing.Rate,"Broomfield, CO",CO,8014,70.2,X2012.Prescribing.Rate,"Broomfield, CO",CO,8014,65.4,X2013.Prescribing.Rate,"Broomfield, CO",CO,8014,61.5,X2014.Prescribing.Rate,"Broomfield, CO",CO,8014,55.4,X2015.Prescribing.Rate,"Broomfield, CO",CO,8014,52.9,X2016.Prescribing.Rate,KIT CARSON,CO,8063,45.5,2017
"Chaffee, CO",CO,8015,88.7,X2006.Prescribing.Rate,"Chaffee, CO",CO,8015,87.6,X2007.Prescribing.Rate,"Chaffee, CO",CO,8015,94.5,X2008.Prescribing.Rate,"Chaffee, CO",CO,8015,91.7,X2009.Prescribing.Rate,"Chaffee, CO",CO,8015,103.6,X2010.Prescribing.Rate,"Chaffee, CO",CO,8015,97.9,X2011.Prescribing.Rate,"Chaffee, CO",CO,8015,116.4,X2012.Prescribing.Rate,"Chaffee, CO",CO,8015,103.7,X2013.Prescribing.Rate,"Chaffee, CO",CO,8015,102.2,X2014.Prescribing.Rate,"Chaffee, CO",CO,8015,97.9,X2015.Prescribing.Rate,"Chaffee, CO",CO,8015,94.4,X2016.Prescribing.Rate,LA PLATA,CO,8067,51.8,2017
"Cheyenne, CO",CO,8017,45,X2006.Prescribing.Rate,"Cheyenne, CO",CO,8017,49.4,X2007.Prescribing.Rate,"Cheyenne, CO",CO,8017,58.2,X2008.Prescribing.Rate,"Cheyenne, CO",CO,8017,62.5,X2009.Prescribing.Rate,"Cheyenne, CO",CO,8017,82.5,X2010.Prescribing.Rate,"Cheyenne, CO",CO,8017,77.8,X2011.Prescribing.Rate,"Cheyenne, CO",CO,8017,68.2,X2012.Prescribing.Rate,"Cheyenne, CO",CO,8017,70,X2013.Prescribing.Rate,"Cheyenne, CO",CO,8017,74,X2014.Prescribing.Rate,"Cheyenne, CO",CO,8017,73,X2015.Prescribing.Rate,"Cheyenne, CO",CO,8017,68.1,X2016.Prescribing.Rate,LAKE,CO,8065,44.5,2017
"Clear Creek, CO",CO,8019,48.2,X2006.Prescribing.Rate,"Clear Creek, CO",CO,8019,51.7,X2007.Prescribing.Rate,"Clear Creek, CO",CO,8019,49.5,X2008.Prescribing.Rate,"Clear Creek, CO",CO,8019,54.3,X2009.Prescribing.Rate,"Clear Creek, CO",CO,8019,50.4,X2010.Prescribing.Rate,"Clear Creek, CO",CO,8019,47.5,X2011.Prescribing.Rate,"Clear Creek, CO",CO,8019,41.2,X2012.Prescribing.Rate,"Clear Creek, CO",CO,8019,35.9,X2013.Prescribing.Rate,"Clear Creek, CO",CO,8019,38.1,X2014.Prescribing.Rate,"Clear Creek, CO",CO,8019,36.1,X2015.Prescribing.Rate,"Clear Creek, CO",CO,8019,34.8,X2016.Prescribing.Rate,LARIMER,CO,8069,52.7,2017
"Conejos, CO",CO,8021,,X2006.Prescribing.Rate,"Conejos, CO",CO,8021,,X2007.Prescribing.Rate,"Conejos, CO",CO,8021,,X2008.Prescribing.Rate,"Conejos, CO",CO,8021,4.3,X2009.Prescribing.Rate,"Conejos, CO",CO,8021,6.4,X2010.Prescribing.Rate,"Conejos, CO",CO,8021,,X2011.Prescribing.Rate,"Conejos, CO",CO,8021,,X2012.Prescribing.Rate,"Conejos, CO",CO,8021,,X2013.Prescribing.Rate,"Conejos, CO",CO,8021,2.2,X2014.Prescribing.Rate,"Conejos, CO",CO,8021,1.3,X2015.Prescribing.Rate,"Conejos, CO",CO,8021,1.2,X2016.Prescribing.Rate,LAS ANIMAS,CO,8071,112.8,2017
"Costilla, CO",CO,8023,,X2006.Prescribing.Rate,"Costilla, CO",CO,8023,,X2007.Prescribing.Rate,"Costilla, CO",CO,8023,,X2008.Prescribing.Rate,"Costilla, CO",CO,8023,,X2009.Prescribing.Rate,"Costilla, CO",CO,8023,,X2010.Prescribing.Rate,"Costilla, CO",CO,8023,,X2011.Prescribing.Rate,"Costilla, CO",CO,8023,,X2012.Prescribing.Rate,"Costilla, CO",CO,8023,,X2013.Prescribing.Rate,"Costilla, CO",CO,8023,,X2014.Prescribing.Rate,"Costilla, CO",CO,8023,,X2015.Prescribing.Rate,"Costilla, CO",CO,8023,,X2016.Prescribing.Rate,LINCOLN,CO,8073,40.8,2017
"Crowley, CO",CO,8025,32.3,X2006.Prescribing.Rate,"Crowley, CO",CO,8025,34.2,X2007.Prescribing.Rate,"Crowley, CO",CO,8025,37,X2008.Prescribing.Rate,"Crowley, CO",CO,8025,35.2,X2009.Prescribing.Rate,"Crowley, CO",CO,8025,38.3,X2010.Prescribing.Rate,"Crowley, CO",CO,8025,33.8,X2011.Prescribing.Rate,"Crowley, CO",CO,8025,36.3,X2012.Prescribing.Rate,"Crowley, CO",CO,8025,37.9,X2013.Prescribing.Rate,"Crowley, CO",CO,8025,32.4,X2014.Prescribing.Rate,"Crowley, CO",CO,8025,32.3,X2015.Prescribing.Rate,"Crowley, CO",CO,8025,29.7,X2016.Prescribing.Rate,LOGAN,CO,8075,77.2,2017
"Custer, CO",CO,8027,,X2006.Prescribing.Rate,"Custer, CO",CO,8027,,X2007.Prescribing.Rate,"Custer, CO",CO,8027,,X2008.Prescribing.Rate,"Custer, CO",CO,8027,,X2009.Prescribing.Rate,"Custer, CO",CO,8027,,X2010.Prescribing.Rate,"Custer, CO",CO,8027,,X2011.Prescribing.Rate,"Custer, CO",CO,8027,,X2012.Prescribing.Rate,"Custer, CO",CO,8027,,X2013.Prescribing.Rate,"Custer, CO",CO,8027,,X2014.Prescribing.Rate,"Custer, CO",CO,8027,,X2015.Prescribing.Rate,"Custer, CO",CO,8027,,X2016.Prescribing.Rate,MESA,CO,8077,72.1,2017
"Delta, CO",CO,8029,81.2,X2006.Prescribing.Rate,"Delta, CO",CO,8029,82.7,X2007.Prescribing.Rate,"Delta, CO",CO,8029,91.8,X2008.Prescribing.Rate,"Delta, CO",CO,8029,102.1,X2009.Prescribing.Rate,"Delta, CO",CO,8029,92.6,X2010.Prescribing.Rate,"Delta, CO",CO,8029,87.6,X2011.Prescribing.Rate,"Delta, CO",CO,8029,103.4,X2012.Prescribing.Rate,"Delta, CO",CO,8029,96.2,X2013.Prescribing.Rate,"Delta, CO",CO,8029,96.5,X2014.Prescribing.Rate,"Delta, CO",CO,8029,90.4,X2015.Prescribing.Rate,"Delta, CO",CO,8029,83.6,X2016.Prescribing.Rate,MOFFAT,CO,8081,96.9,2017
"Denver, CO",CO,8031,42.8,X2006.Prescribing.Rate,"Denver, CO",CO,8031,45.8,X2007.Prescribing.Rate,"Denver, CO",CO,8031,47.5,X2008.Prescribing.Rate,"Denver, CO",CO,8031,47.6,X2009.Prescribing.Rate,"Denver, CO",CO,8031,49.6,X2010.Prescribing.Rate,"Denver, CO",CO,8031,51.1,X2011.Prescribing.Rate,"Denver, CO",CO,8031,50.4,X2012.Prescribing.Rate,"Denver, CO",CO,8031,49,X2013.Prescribing.Rate,"Denver, CO",CO,8031,48.2,X2014.Prescribing.Rate,"Denver, CO",CO,8031,44.3,X2015.Prescribing.Rate,"Denver, CO",CO,8031,39.4,X2016.Prescribing.Rate,MONTEZUMA,CO,8083,77.2,2017
"Dolores, CO",CO,8033,,X2006.Prescribing.Rate,"Dolores, CO",CO,8033,,X2007.Prescribing.Rate,"Dolores, CO",CO,8033,,X2008.Prescribing.Rate,"Dolores, CO",CO,8033,,X2009.Prescribing.Rate,"Dolores, CO",CO,8033,,X2010.Prescribing.Rate,"Dolores, CO",CO,8033,,X2011.Prescribing.Rate,"Dolores, CO",CO,8033,,X2012.Prescribing.Rate,"Dolores, CO",CO,8033,,X2013.Prescribing.Rate,"Dolores, CO",CO,8033,,X2014.Prescribing.Rate,"Dolores, CO",CO,8033,,X2015.Prescribing.Rate,"Dolores, CO",CO,8033,,X2016.Prescribing.Rate,MONTROSE,CO,8085,76.5,2017
"Douglas, CO",CO,8035,55.5,X2006.Prescribing.Rate,"Douglas, CO",CO,8035,58.4,X2007.Prescribing.Rate,"Douglas, CO",CO,8035,59.3,X2008.Prescribing.Rate,"Douglas, CO",CO,8035,59.9,X2009.Prescribing.Rate,"Douglas, CO",CO,8035,61.2,X2010.Prescribing.Rate,"Douglas, CO",CO,8035,61.1,X2011.Prescribing.Rate,"Douglas, CO",CO,8035,58.5,X2012.Prescribing.Rate,"Douglas, CO",CO,8035,57.5,X2013.Prescribing.Rate,"Douglas, CO",CO,8035,55.9,X2014.Prescribing.Rate,"Douglas, CO",CO,8035,54.9,X2015.Prescribing.Rate,"Douglas, CO",CO,8035,50.5,X2016.Prescribing.Rate,MORGAN,CO,8087,60.4,2017
"Eagle, CO",CO,8037,51.9,X2006.Prescribing.Rate,"Eagle, CO",CO,8037,52.1,X2007.Prescribing.Rate,"Eagle, CO",CO,8037,51.4,X2008.Prescribing.Rate,"Eagle, CO",CO,8037,67.4,X2009.Prescribing.Rate,"Eagle, CO",CO,8037,65.4,X2010.Prescribing.Rate,"Eagle, CO",CO,8037,54.9,X2011.Prescribing.Rate,"Eagle, CO",CO,8037,49.7,X2012.Prescribing.Rate,"Eagle, CO",CO,8037,52.9,X2013.Prescribing.Rate,"Eagle, CO",CO,8037,53,X2014.Prescribing.Rate,"Eagle, CO",CO,8037,48.6,X2015.Prescribing.Rate,"Eagle, CO",CO,8037,46.3,X2016.Prescribing.Rate,OTERO,CO,8089,97.7,2017
"El Paso, CO",CO,8041,66.3,X2006.Prescribing.Rate,"El Paso, CO",CO,8041,72.2,X2007.Prescribing.Rate,"El Paso, CO",CO,8041,73,X2008.Prescribing.Rate,"El Paso, CO",CO,8041,75.5,X2009.Prescribing.Rate,"El Paso, CO",CO,8041,79,X2010.Prescribing.Rate,"El Paso, CO",CO,8041,79.4,X2011.Prescribing.Rate,"El Paso, CO",CO,8041,78.2,X2012.Prescribing.Rate,"El Paso, CO",CO,8041,75.7,X2013.Prescribing.Rate,"El Paso, CO",CO,8041,75.1,X2014.Prescribing.Rate,"El Paso, CO",CO,8041,72.5,X2015.Prescribing.Rate,"El Paso, CO",CO,8041,67.4,X2016.Prescribing.Rate,OURAY,CO,8091,26.2,2017
"Elbert, CO",CO,8039,24.1,X2006.Prescribing.Rate,"Elbert, CO",CO,8039,24.8,X2007.Prescribing.Rate,"Elbert, CO",CO,8039,24.3,X2008.Prescribing.Rate,"Elbert, CO",CO,8039,24.4,X2009.Prescribing.Rate,"Elbert, CO",CO,8039,33.9,X2010.Prescribing.Rate,"Elbert, CO",CO,8039,30.6,X2011.Prescribing.Rate,"Elbert, CO",CO,8039,34.8,X2012.Prescribing.Rate,"Elbert, CO",CO,8039,37.2,X2013.Prescribing.Rate,"Elbert, CO",CO,8039,36.6,X2014.Prescribing.Rate,"Elbert, CO",CO,8039,35.1,X2015.Prescribing.Rate,"Elbert, CO",CO,8039,34.9,X2016.Prescribing.Rate,PARK,CO,8093,,2017
"Fremont, CO",CO,8043,66.3,X2006.Prescribing.Rate,"Fremont, CO",CO,8043,70.4,X2007.Prescribing.Rate,"Fremont, CO",CO,8043,76.1,X2008.Prescribing.Rate,"Fremont, CO",CO,8043,77.6,X2009.Prescribing.Rate,"Fremont, CO",CO,8043,76,X2010.Prescribing.Rate,"Fremont, CO",CO,8043,75.1,X2011.Prescribing.Rate,"Fremont, CO",CO,8043,85.5,X2012.Prescribing.Rate,"Fremont, CO",CO,8043,84,X2013.Prescribing.Rate,"Fremont, CO",CO,8043,80,X2014.Prescribing.Rate,"Fremont, CO",CO,8043,76.4,X2015.Prescribing.Rate,"Fremont, CO",CO,8043,72.7,X2016.Prescribing.Rate,PHILLIPS,CO,8095,,2017
"Garfield, CO",CO,8045,93.4,X2006.Prescribing.Rate,"Garfield, CO",CO,8045,94.6,X2007.Prescribing.Rate,"Garfield, CO",CO,8045,93.7,X2008.Prescribing.Rate,"Garfield, CO",CO,8045,96.4,X2009.Prescribing.Rate,"Garfield, CO",CO,8045,96,X2010.Prescribing.Rate,"Garfield, CO",CO,8045,94.3,X2011.Prescribing.Rate,"Garfield, CO",CO,8045,95.6,X2012.Prescribing.Rate,"Garfield, CO",CO,8045,91.5,X2013.Prescribing.Rate,"Garfield, CO",CO,8045,92.9,X2014.Prescribing.Rate,"Garfield, CO",CO,8045,86.2,X2015.Prescribing.Rate,"Garfield, CO",CO,8045,78.5,X2016.Prescribing.Rate,PITKIN,CO,8097,22.2,2017
"Gilpin, CO",CO,8047,,X2006.Prescribing.Rate,"Gilpin, CO",CO,8047,,X2007.Prescribing.Rate,"Gilpin, CO",CO,8047,,X2008.Prescribing.Rate,"Gilpin, CO",CO,8047,,X2009.Prescribing.Rate,"Gilpin, CO",CO,8047,,X2010.Prescribing.Rate,"Gilpin, CO",CO,8047,,X2011.Prescribing.Rate,"Gilpin, CO",CO,8047,,X2012.Prescribing.Rate,"Gilpin, CO",CO,8047,,X2013.Prescribing.Rate,"Gilpin, CO",CO,8047,,X2014.Prescribing.Rate,"Gilpin, CO",CO,8047,,X2015.Prescribing.Rate,"Gilpin, CO",CO,8047,,X2016.Prescribing.Rate,PROWERS,CO,8099,73,2017
"Grand, CO",CO,8049,51.1,X2006.Prescribing.Rate,"Grand, CO",CO,8049,52.8,X2007.Prescribing.Rate,"Grand, CO",CO,8049,44.4,X2008.Prescribing.Rate,"Grand, CO",CO,8049,52.1,X2009.Prescribing.Rate,"Grand, CO",CO,8049,55.1,X2010.Prescribing.Rate,"Grand, CO",CO,8049,54.4,X2011.Prescribing.Rate,"Grand, CO",CO,8049,55.7,X2012.Prescribing.Rate,"Grand, CO",CO,8049,52.2,X2013.Prescribing.Rate,"Grand, CO",CO,8049,50.3,X2014.Prescribing.Rate,"Grand, CO",CO,8049,47.4,X2015.Prescribing.Rate,"Grand, CO",CO,8049,43.3,X2016.Prescribing.Rate,PUEBLO,CO,8101,97.7,2017
"Gunnison, CO",CO,8051,49.8,X2006.Prescribing.Rate,"Gunnison, CO",CO,8051,49.4,X2007.Prescribing.Rate,"Gunnison, CO",CO,8051,48.8,X2008.Prescribing.Rate,"Gunnison, CO",CO,8051,41.3,X2009.Prescribing.Rate,"Gunnison, CO",CO,8051,56.3,X2010.Prescribing.Rate,"Gunnison, CO",CO,8051,57.1,X2011.Prescribing.Rate,"Gunnison, CO",CO,8051,59.5,X2012.Prescribing.Rate,"Gunnison, CO",CO,8051,60.9,X2013.Prescribing.Rate,"Gunnison, CO",CO,8051,59.4,X2014.Prescribing.Rate,"Gunnison, CO",CO,8051,54.5,X2015.Prescribing.Rate,"Gunnison, CO",CO,8051,51.6,X2016.Prescribing.Rate,RIO BLANCO,CO,8103,27.5,2017
"Hinsdale, CO",CO,8053,,X2006.Prescribing.Rate,"Hinsdale, CO",CO,8053,,X2007.Prescribing.Rate,"Hinsdale, CO",CO,8053,,X2008.Prescribing.Rate,"Hinsdale, CO",CO,8053,,X2009.Prescribing.Rate,"Hinsdale, CO",CO,8053,,X2010.Prescribing.Rate,"Hinsdale, CO",CO,8053,,X2011.Prescribing.Rate,"Hinsdale, CO",CO,8053,,X2012.Prescribing.Rate,"Hinsdale, CO",CO,8053,,X2013.Prescribing.Rate,"Hinsdale, CO",CO,8053,,X2014.Prescribing.Rate,"Hinsdale, CO",CO,8053,,X2015.Prescribing.Rate,"Hinsdale, CO",CO,8053,,X2016.Prescribing.Rate,RIO GRANDE,CO,8105,74.1,2017
"Huerfano, CO",CO,8055,93.5,X2006.Prescribing.Rate,"Huerfano, CO",CO,8055,88.8,X2007.Prescribing.Rate,"Huerfano, CO",CO,8055,97.8,X2008.Prescribing.Rate,"Huerfano, CO",CO,8055,94,X2009.Prescribing.Rate,"Huerfano, CO",CO,8055,112.5,X2010.Prescribing.Rate,"Huerfano, CO",CO,8055,120.1,X2011.Prescribing.Rate,"Huerfano, CO",CO,8055,117.3,X2012.Prescribing.Rate,"Huerfano, CO",CO,8055,108.4,X2013.Prescribing.Rate,"Huerfano, CO",CO,8055,87.8,X2014.Prescribing.Rate,"Huerfano, CO",CO,8055,77.7,X2015.Prescribing.Rate,"Huerfano, CO",CO,8055,80.6,X2016.Prescribing.Rate,ROUTT,CO,8107,47.8,2017
"Jackson, CO",CO,8057,,X2006.Prescribing.Rate,"Jackson, CO",CO,8057,,X2007.Prescribing.Rate,"Jackson, CO",CO,8057,,X2008.Prescribing.Rate,"Jackson, CO",CO,8057,,X2009.Prescribing.Rate,"Jackson, CO",CO,8057,,X2010.Prescribing.Rate,"Jackson, CO",CO,8057,,X2011.Prescribing.Rate,"Jackson, CO",CO,8057,,X2012.Prescribing.Rate,"Jackson, CO",CO,8057,,X2013.Prescribing.Rate,"Jackson, CO",CO,8057,,X2014.Prescribing.Rate,"Jackson, CO",CO,8057,,X2015.Prescribing.Rate,"Jackson, CO",CO,8057,,X2016.Prescribing.Rate,SAN MIGUEL,CO,8113,29.4,2017
